"salary","max","count"
"$40,190.00","$40,190.00",2
"$40,191.00","$40,191.00",8
"$40,192.00","$40,192.00",4
"$40,193.00","$40,193.00",6
"$40,194.00","$40,194.00",9
"$40,195.00","$40,195.00",3
"$40,196.00","$40,196.00",5
"$40,197.00","$40,197.00",6
"$40,198.00","$40,198.00",4
"$40,199.00","$40,199.00",7
"$40,200.00","$40,200.00",6
"$40,201.00","$40,201.00",9
"$40,202.00","$40,202.00",4
"$40,203.00","$40,203.00",6
"$40,204.00","$40,204.00",3
"$40,205.00","$40,205.00",4
"$40,206.00","$40,206.00",4
"$40,207.00","$40,207.00",5
"$40,208.00","$40,208.00",7
"$40,209.00","$40,209.00",4
"$40,210.00","$40,210.00",5
"$40,211.00","$40,211.00",7
"$40,212.00","$40,212.00",1
"$40,213.00","$40,213.00",6
"$40,214.00","$40,214.00",8
"$40,215.00","$40,215.00",6
"$40,216.00","$40,216.00",8
"$40,217.00","$40,217.00",6
"$40,218.00","$40,218.00",4
"$40,219.00","$40,219.00",2
"$40,220.00","$40,220.00",6
"$40,221.00","$40,221.00",8
"$40,222.00","$40,222.00",8
"$40,223.00","$40,223.00",5
"$40,224.00","$40,224.00",6
"$40,225.00","$40,225.00",4
"$40,226.00","$40,226.00",7
"$40,227.00","$40,227.00",9
"$40,228.00","$40,228.00",5
"$40,229.00","$40,229.00",2
"$40,230.00","$40,230.00",7
"$40,231.00","$40,231.00",10
"$40,232.00","$40,232.00",5
"$40,233.00","$40,233.00",5
"$40,234.00","$40,234.00",5
"$40,235.00","$40,235.00",2
"$40,236.00","$40,236.00",6
"$40,237.00","$40,237.00",10
"$40,238.00","$40,238.00",7
"$40,239.00","$40,239.00",6
"$40,240.00","$40,240.00",6
"$40,241.00","$40,241.00",7
"$40,243.00","$40,243.00",8
"$40,244.00","$40,244.00",8
"$40,245.00","$40,245.00",4
"$40,246.00","$40,246.00",5
"$40,247.00","$40,247.00",5
"$40,248.00","$40,248.00",5
"$40,249.00","$40,249.00",5
"$40,250.00","$40,250.00",4
"$40,251.00","$40,251.00",5
"$40,252.00","$40,252.00",7
"$40,253.00","$40,253.00",6
"$40,254.00","$40,254.00",4
"$40,255.00","$40,255.00",3
"$40,256.00","$40,256.00",5
"$40,257.00","$40,257.00",6
"$40,258.00","$40,258.00",6
"$40,259.00","$40,259.00",7
"$40,260.00","$40,260.00",3
"$40,261.00","$40,261.00",12
"$40,262.00","$40,262.00",6
"$40,263.00","$40,263.00",9
"$40,264.00","$40,264.00",7
"$40,265.00","$40,265.00",11
"$40,266.00","$40,266.00",4
"$40,267.00","$40,267.00",7
"$40,268.00","$40,268.00",5
"$40,269.00","$40,269.00",5
"$40,270.00","$40,270.00",2
"$40,272.00","$40,272.00",5
"$40,273.00","$40,273.00",6
"$40,274.00","$40,274.00",6
"$40,275.00","$40,275.00",3
"$40,276.00","$40,276.00",3
"$40,277.00","$40,277.00",4
"$40,278.00","$40,278.00",6
"$40,279.00","$40,279.00",3
"$40,280.00","$40,280.00",4
"$40,281.00","$40,281.00",5
"$40,282.00","$40,282.00",7
"$40,283.00","$40,283.00",9
"$40,284.00","$40,284.00",8
"$40,285.00","$40,285.00",2
"$40,286.00","$40,286.00",6
"$40,287.00","$40,287.00",12
"$40,288.00","$40,288.00",7
"$40,289.00","$40,289.00",8
"$40,290.00","$40,290.00",1
"$40,291.00","$40,291.00",4
"$40,292.00","$40,292.00",6
"$40,293.00","$40,293.00",2
"$40,294.00","$40,294.00",6
"$40,295.00","$40,295.00",7
"$40,296.00","$40,296.00",4
"$40,297.00","$40,297.00",10
"$40,298.00","$40,298.00",7
"$40,299.00","$40,299.00",6
"$40,300.00","$40,300.00",6
"$40,301.00","$40,301.00",6
"$40,302.00","$40,302.00",9
"$40,303.00","$40,303.00",7
"$40,304.00","$40,304.00",5
"$40,305.00","$40,305.00",6
"$40,306.00","$40,306.00",6
"$40,307.00","$40,307.00",9
"$40,308.00","$40,308.00",8
"$40,309.00","$40,309.00",6
"$40,310.00","$40,310.00",1
"$40,311.00","$40,311.00",4
"$40,312.00","$40,312.00",3
"$40,313.00","$40,313.00",9
"$40,314.00","$40,314.00",3
"$40,315.00","$40,315.00",11
"$40,316.00","$40,316.00",7
"$40,317.00","$40,317.00",1
"$40,318.00","$40,318.00",8
"$40,319.00","$40,319.00",7
"$40,320.00","$40,320.00",6
"$40,321.00","$40,321.00",8
"$40,322.00","$40,322.00",2
"$40,323.00","$40,323.00",8
"$40,324.00","$40,324.00",8
"$40,325.00","$40,325.00",10
"$40,326.00","$40,326.00",4
"$40,327.00","$40,327.00",9
"$40,328.00","$40,328.00",6
"$40,329.00","$40,329.00",5
"$40,330.00","$40,330.00",3
"$40,331.00","$40,331.00",6
"$40,332.00","$40,332.00",2
"$40,333.00","$40,333.00",4
"$40,334.00","$40,334.00",2
"$40,335.00","$40,335.00",8
"$40,336.00","$40,336.00",6
"$40,337.00","$40,337.00",8
"$40,338.00","$40,338.00",7
"$40,339.00","$40,339.00",2
"$40,340.00","$40,340.00",6
"$40,341.00","$40,341.00",10
"$40,342.00","$40,342.00",4
"$40,343.00","$40,343.00",9
"$40,344.00","$40,344.00",6
"$40,345.00","$40,345.00",9
"$40,346.00","$40,346.00",6
"$40,347.00","$40,347.00",9
"$40,348.00","$40,348.00",6
"$40,349.00","$40,349.00",5
"$40,350.00","$40,350.00",8
"$40,351.00","$40,351.00",7
"$40,352.00","$40,352.00",8
"$40,353.00","$40,353.00",4
"$40,354.00","$40,354.00",7
"$40,355.00","$40,355.00",8
"$40,356.00","$40,356.00",7
"$40,357.00","$40,357.00",10
"$40,358.00","$40,358.00",7
"$40,359.00","$40,359.00",7
"$40,360.00","$40,360.00",5
"$40,361.00","$40,361.00",4
"$40,362.00","$40,362.00",8
"$40,363.00","$40,363.00",9
"$40,364.00","$40,364.00",5
"$40,365.00","$40,365.00",5
"$40,366.00","$40,366.00",2
"$40,367.00","$40,367.00",3
"$40,368.00","$40,368.00",10
"$40,369.00","$40,369.00",4
"$40,370.00","$40,370.00",7
"$40,371.00","$40,371.00",5
"$40,372.00","$40,372.00",2
"$40,373.00","$40,373.00",9
"$40,374.00","$40,374.00",5
"$40,375.00","$40,375.00",2
"$40,376.00","$40,376.00",8
"$40,377.00","$40,377.00",8
"$40,378.00","$40,378.00",7
"$40,379.00","$40,379.00",5
"$40,380.00","$40,380.00",7
"$40,381.00","$40,381.00",6
"$40,382.00","$40,382.00",4
"$40,383.00","$40,383.00",3
"$40,384.00","$40,384.00",4
"$40,385.00","$40,385.00",7
"$40,386.00","$40,386.00",8
"$40,387.00","$40,387.00",5
"$40,388.00","$40,388.00",5
"$40,389.00","$40,389.00",6
"$40,390.00","$40,390.00",9
"$40,391.00","$40,391.00",7
"$40,392.00","$40,392.00",7
"$40,393.00","$40,393.00",3
"$40,394.00","$40,394.00",4
"$40,395.00","$40,395.00",7
"$40,396.00","$40,396.00",3
"$40,397.00","$40,397.00",6
"$40,398.00","$40,398.00",5
"$40,399.00","$40,399.00",4
"$40,400.00","$40,400.00",4
"$40,401.00","$40,401.00",5
"$40,402.00","$40,402.00",4
"$40,403.00","$40,403.00",3
"$40,404.00","$40,404.00",8
"$40,405.00","$40,405.00",6
"$40,406.00","$40,406.00",4
"$40,407.00","$40,407.00",6
"$40,408.00","$40,408.00",7
"$40,409.00","$40,409.00",3
"$40,410.00","$40,410.00",7
"$40,411.00","$40,411.00",6
"$40,412.00","$40,412.00",5
"$40,413.00","$40,413.00",2
"$40,414.00","$40,414.00",6
"$40,415.00","$40,415.00",3
"$40,416.00","$40,416.00",7
"$40,417.00","$40,417.00",6
"$40,418.00","$40,418.00",5
"$40,419.00","$40,419.00",9
"$40,420.00","$40,420.00",12
"$40,421.00","$40,421.00",7
"$40,422.00","$40,422.00",10
"$40,423.00","$40,423.00",9
"$40,424.00","$40,424.00",8
"$40,425.00","$40,425.00",5
"$40,426.00","$40,426.00",7
"$40,427.00","$40,427.00",2
"$40,428.00","$40,428.00",6
"$40,429.00","$40,429.00",5
"$40,430.00","$40,430.00",2
"$40,431.00","$40,431.00",7
"$40,432.00","$40,432.00",3
"$40,433.00","$40,433.00",8
"$40,434.00","$40,434.00",6
"$40,435.00","$40,435.00",6
"$40,436.00","$40,436.00",9
"$40,437.00","$40,437.00",3
"$40,438.00","$40,438.00",8
"$40,439.00","$40,439.00",10
"$40,440.00","$40,440.00",5
"$40,441.00","$40,441.00",4
"$40,442.00","$40,442.00",8
"$40,443.00","$40,443.00",5
"$40,444.00","$40,444.00",5
"$40,445.00","$40,445.00",12
"$40,446.00","$40,446.00",8
"$40,447.00","$40,447.00",1
"$40,448.00","$40,448.00",6
"$40,449.00","$40,449.00",11
"$40,450.00","$40,450.00",12
"$40,451.00","$40,451.00",3
"$40,452.00","$40,452.00",8
"$40,453.00","$40,453.00",8
"$40,454.00","$40,454.00",5
"$40,455.00","$40,455.00",10
"$40,456.00","$40,456.00",4
"$40,457.00","$40,457.00",4
"$40,458.00","$40,458.00",7
"$40,459.00","$40,459.00",4
"$40,460.00","$40,460.00",12
"$40,461.00","$40,461.00",6
"$40,462.00","$40,462.00",13
"$40,463.00","$40,463.00",6
"$40,464.00","$40,464.00",8
"$40,465.00","$40,465.00",5
"$40,466.00","$40,466.00",6
"$40,467.00","$40,467.00",5
"$40,468.00","$40,468.00",7
"$40,469.00","$40,469.00",7
"$40,470.00","$40,470.00",5
"$40,471.00","$40,471.00",4
"$40,472.00","$40,472.00",6
"$40,473.00","$40,473.00",7
"$40,474.00","$40,474.00",4
"$40,475.00","$40,475.00",5
"$40,476.00","$40,476.00",2
"$40,477.00","$40,477.00",2
"$40,478.00","$40,478.00",3
"$40,479.00","$40,479.00",6
"$40,480.00","$40,480.00",7
"$40,481.00","$40,481.00",6
"$40,482.00","$40,482.00",4
"$40,483.00","$40,483.00",9
"$40,484.00","$40,484.00",4
"$40,485.00","$40,485.00",4
"$40,486.00","$40,486.00",4
"$40,487.00","$40,487.00",4
"$40,488.00","$40,488.00",6
"$40,489.00","$40,489.00",11
"$40,490.00","$40,490.00",5
"$40,491.00","$40,491.00",12
"$40,492.00","$40,492.00",7
"$40,493.00","$40,493.00",10
"$40,494.00","$40,494.00",9
"$40,495.00","$40,495.00",9
"$40,496.00","$40,496.00",4
"$40,497.00","$40,497.00",3
"$40,498.00","$40,498.00",5
"$40,499.00","$40,499.00",9
"$40,500.00","$40,500.00",11
"$40,501.00","$40,501.00",9
"$40,502.00","$40,502.00",6
"$40,503.00","$40,503.00",6
"$40,504.00","$40,504.00",4
"$40,505.00","$40,505.00",1
"$40,506.00","$40,506.00",8
"$40,507.00","$40,507.00",4
"$40,508.00","$40,508.00",7
"$40,509.00","$40,509.00",10
"$40,510.00","$40,510.00",6
"$40,511.00","$40,511.00",3
"$40,512.00","$40,512.00",6
"$40,513.00","$40,513.00",6
"$40,514.00","$40,514.00",6
"$40,515.00","$40,515.00",9
"$40,516.00","$40,516.00",10
"$40,517.00","$40,517.00",3
"$40,518.00","$40,518.00",9
"$40,519.00","$40,519.00",10
"$40,520.00","$40,520.00",9
"$40,521.00","$40,521.00",8
"$40,522.00","$40,522.00",6
"$40,523.00","$40,523.00",1
"$40,524.00","$40,524.00",5
"$40,525.00","$40,525.00",11
"$40,526.00","$40,526.00",4
"$40,527.00","$40,527.00",5
"$40,528.00","$40,528.00",5
"$40,529.00","$40,529.00",6
"$40,530.00","$40,530.00",3
"$40,531.00","$40,531.00",5
"$40,532.00","$40,532.00",3
"$40,533.00","$40,533.00",2
"$40,534.00","$40,534.00",9
"$40,535.00","$40,535.00",3
"$40,536.00","$40,536.00",8
"$40,537.00","$40,537.00",5
"$40,538.00","$40,538.00",5
"$40,539.00","$40,539.00",7
"$40,540.00","$40,540.00",6
"$40,541.00","$40,541.00",9
"$40,542.00","$40,542.00",7
"$40,543.00","$40,543.00",5
"$40,544.00","$40,544.00",2
"$40,545.00","$40,545.00",11
"$40,546.00","$40,546.00",4
"$40,547.00","$40,547.00",3
"$40,548.00","$40,548.00",4
"$40,549.00","$40,549.00",3
"$40,550.00","$40,550.00",5
"$40,551.00","$40,551.00",5
"$40,552.00","$40,552.00",5
"$40,553.00","$40,553.00",4
"$40,554.00","$40,554.00",10
"$40,555.00","$40,555.00",3
"$40,556.00","$40,556.00",7
"$40,557.00","$40,557.00",8
"$40,558.00","$40,558.00",2
"$40,559.00","$40,559.00",10
"$40,560.00","$40,560.00",7
"$40,561.00","$40,561.00",3
"$40,562.00","$40,562.00",11
"$40,563.00","$40,563.00",6
"$40,564.00","$40,564.00",8
"$40,565.00","$40,565.00",8
"$40,566.00","$40,566.00",6
"$40,567.00","$40,567.00",7
"$40,569.00","$40,569.00",7
"$40,570.00","$40,570.00",6
"$40,571.00","$40,571.00",13
"$40,572.00","$40,572.00",2
"$40,573.00","$40,573.00",7
"$40,574.00","$40,574.00",3
"$40,575.00","$40,575.00",4
"$40,576.00","$40,576.00",9
"$40,577.00","$40,577.00",11
"$40,578.00","$40,578.00",8
"$40,579.00","$40,579.00",7
"$40,580.00","$40,580.00",7
"$40,581.00","$40,581.00",6
"$40,582.00","$40,582.00",6
"$40,583.00","$40,583.00",8
"$40,584.00","$40,584.00",10
"$40,585.00","$40,585.00",6
"$40,586.00","$40,586.00",2
"$40,587.00","$40,587.00",3
"$40,588.00","$40,588.00",8
"$40,589.00","$40,589.00",8
"$40,590.00","$40,590.00",5
"$40,591.00","$40,591.00",9
"$40,592.00","$40,592.00",6
"$40,593.00","$40,593.00",6
"$40,594.00","$40,594.00",8
"$40,595.00","$40,595.00",6
"$40,596.00","$40,596.00",12
"$40,597.00","$40,597.00",6
"$40,598.00","$40,598.00",6
"$40,599.00","$40,599.00",5
"$40,600.00","$40,600.00",10
"$40,601.00","$40,601.00",3
"$40,602.00","$40,602.00",2
"$40,603.00","$40,603.00",8
"$40,604.00","$40,604.00",5
"$40,605.00","$40,605.00",4
"$40,606.00","$40,606.00",6
"$40,607.00","$40,607.00",4
"$40,608.00","$40,608.00",4
"$40,609.00","$40,609.00",9
"$40,610.00","$40,610.00",5
"$40,611.00","$40,611.00",6
"$40,612.00","$40,612.00",11
"$40,613.00","$40,613.00",10
"$40,614.00","$40,614.00",10
"$40,615.00","$40,615.00",7
"$40,616.00","$40,616.00",5
"$40,617.00","$40,617.00",7
"$40,618.00","$40,618.00",8
"$40,619.00","$40,619.00",4
"$40,620.00","$40,620.00",6
"$40,621.00","$40,621.00",6
"$40,622.00","$40,622.00",7
"$40,623.00","$40,623.00",5
"$40,624.00","$40,624.00",8
"$40,625.00","$40,625.00",5
"$40,626.00","$40,626.00",7
"$40,627.00","$40,627.00",4
"$40,628.00","$40,628.00",5
"$40,629.00","$40,629.00",5
"$40,630.00","$40,630.00",6
"$40,631.00","$40,631.00",2
"$40,632.00","$40,632.00",8
"$40,633.00","$40,633.00",4
"$40,634.00","$40,634.00",7
"$40,635.00","$40,635.00",6
"$40,636.00","$40,636.00",8
"$40,637.00","$40,637.00",4
"$40,638.00","$40,638.00",4
"$40,639.00","$40,639.00",4
"$40,640.00","$40,640.00",8
"$40,641.00","$40,641.00",6
"$40,642.00","$40,642.00",7
"$40,643.00","$40,643.00",3
"$40,644.00","$40,644.00",7
"$40,645.00","$40,645.00",4
"$40,646.00","$40,646.00",10
"$40,647.00","$40,647.00",11
"$40,648.00","$40,648.00",12
"$40,649.00","$40,649.00",8
"$40,650.00","$40,650.00",3
"$40,651.00","$40,651.00",7
"$40,652.00","$40,652.00",4
"$40,653.00","$40,653.00",8
"$40,654.00","$40,654.00",6
"$40,655.00","$40,655.00",5
"$40,656.00","$40,656.00",4
"$40,657.00","$40,657.00",8
"$40,658.00","$40,658.00",7
"$40,659.00","$40,659.00",4
"$40,660.00","$40,660.00",7
"$40,661.00","$40,661.00",4
"$40,662.00","$40,662.00",10
"$40,663.00","$40,663.00",7
"$40,664.00","$40,664.00",5
"$40,665.00","$40,665.00",5
"$40,666.00","$40,666.00",9
"$40,667.00","$40,667.00",9
"$40,668.00","$40,668.00",6
"$40,669.00","$40,669.00",5
"$40,670.00","$40,670.00",7
"$40,671.00","$40,671.00",6
"$40,672.00","$40,672.00",3
"$40,673.00","$40,673.00",6
"$40,674.00","$40,674.00",3
"$40,675.00","$40,675.00",13
"$40,676.00","$40,676.00",4
"$40,677.00","$40,677.00",7
"$40,678.00","$40,678.00",7
"$40,679.00","$40,679.00",8
"$40,680.00","$40,680.00",4
"$40,681.00","$40,681.00",11
"$40,682.00","$40,682.00",8
"$40,683.00","$40,683.00",2
"$40,684.00","$40,684.00",5
"$40,685.00","$40,685.00",9
"$40,686.00","$40,686.00",3
"$40,687.00","$40,687.00",5
"$40,688.00","$40,688.00",7
"$40,689.00","$40,689.00",5
"$40,690.00","$40,690.00",8
"$40,691.00","$40,691.00",6
"$40,692.00","$40,692.00",1
"$40,693.00","$40,693.00",9
"$40,694.00","$40,694.00",7
"$40,695.00","$40,695.00",3
"$40,696.00","$40,696.00",7
"$40,697.00","$40,697.00",6
"$40,698.00","$40,698.00",1
"$40,699.00","$40,699.00",11
"$40,700.00","$40,700.00",5
"$40,701.00","$40,701.00",6
"$40,702.00","$40,702.00",6
"$40,703.00","$40,703.00",6
"$40,704.00","$40,704.00",3
"$40,705.00","$40,705.00",7
"$40,706.00","$40,706.00",6
"$40,707.00","$40,707.00",6
"$40,708.00","$40,708.00",11
"$40,709.00","$40,709.00",10
"$40,710.00","$40,710.00",7
"$40,711.00","$40,711.00",7
"$40,712.00","$40,712.00",13
"$40,713.00","$40,713.00",2
"$40,714.00","$40,714.00",6
"$40,715.00","$40,715.00",6
"$40,716.00","$40,716.00",8
"$40,717.00","$40,717.00",5
"$40,718.00","$40,718.00",4
"$40,719.00","$40,719.00",7
"$40,720.00","$40,720.00",2
"$40,721.00","$40,721.00",14
"$40,722.00","$40,722.00",2
"$40,723.00","$40,723.00",6
"$40,724.00","$40,724.00",6
"$40,725.00","$40,725.00",9
"$40,726.00","$40,726.00",7
"$40,727.00","$40,727.00",6
"$40,728.00","$40,728.00",7
"$40,729.00","$40,729.00",12
"$40,730.00","$40,730.00",5
"$40,731.00","$40,731.00",1
"$40,732.00","$40,732.00",7
"$40,733.00","$40,733.00",4
"$40,734.00","$40,734.00",4
"$40,735.00","$40,735.00",9
"$40,736.00","$40,736.00",2
"$40,737.00","$40,737.00",5
"$40,738.00","$40,738.00",7
"$40,739.00","$40,739.00",3
"$40,740.00","$40,740.00",6
"$40,741.00","$40,741.00",5
"$40,742.00","$40,742.00",6
"$40,743.00","$40,743.00",8
"$40,744.00","$40,744.00",2
"$40,745.00","$40,745.00",8
"$40,746.00","$40,746.00",6
"$40,747.00","$40,747.00",5
"$40,748.00","$40,748.00",10
"$40,749.00","$40,749.00",10
"$40,750.00","$40,750.00",8
"$40,751.00","$40,751.00",5
"$40,752.00","$40,752.00",4
"$40,753.00","$40,753.00",8
"$40,754.00","$40,754.00",11
"$40,755.00","$40,755.00",4
"$40,756.00","$40,756.00",5
"$40,757.00","$40,757.00",9
"$40,758.00","$40,758.00",4
"$40,759.00","$40,759.00",3
"$40,760.00","$40,760.00",3
"$40,761.00","$40,761.00",3
"$40,762.00","$40,762.00",7
"$40,763.00","$40,763.00",5
"$40,764.00","$40,764.00",6
"$40,765.00","$40,765.00",3
"$40,766.00","$40,766.00",7
"$40,767.00","$40,767.00",7
"$40,768.00","$40,768.00",4
"$40,769.00","$40,769.00",6
"$40,770.00","$40,770.00",8
"$40,771.00","$40,771.00",12
"$40,772.00","$40,772.00",4
"$40,773.00","$40,773.00",8
"$40,774.00","$40,774.00",7
"$40,775.00","$40,775.00",3
"$40,776.00","$40,776.00",4
"$40,777.00","$40,777.00",10
"$40,778.00","$40,778.00",4
"$40,779.00","$40,779.00",5
"$40,780.00","$40,780.00",4
"$40,781.00","$40,781.00",8
"$40,782.00","$40,782.00",5
"$40,783.00","$40,783.00",5
"$40,784.00","$40,784.00",4
"$40,785.00","$40,785.00",8
"$40,786.00","$40,786.00",4
"$40,787.00","$40,787.00",7
"$40,788.00","$40,788.00",9
"$40,789.00","$40,789.00",7
"$40,790.00","$40,790.00",8
"$40,791.00","$40,791.00",6
"$40,792.00","$40,792.00",3
"$40,793.00","$40,793.00",3
"$40,794.00","$40,794.00",7
"$40,795.00","$40,795.00",8
"$40,796.00","$40,796.00",4
"$40,797.00","$40,797.00",9
"$40,798.00","$40,798.00",7
"$40,799.00","$40,799.00",6
"$40,800.00","$40,800.00",10
"$40,801.00","$40,801.00",1
"$40,802.00","$40,802.00",6
"$40,803.00","$40,803.00",3
"$40,804.00","$40,804.00",3
"$40,805.00","$40,805.00",8
"$40,806.00","$40,806.00",3
"$40,807.00","$40,807.00",3
"$40,808.00","$40,808.00",7
"$40,809.00","$40,809.00",3
"$40,810.00","$40,810.00",3
"$40,811.00","$40,811.00",9
"$40,812.00","$40,812.00",8
"$40,813.00","$40,813.00",11
"$40,814.00","$40,814.00",6
"$40,815.00","$40,815.00",8
"$40,816.00","$40,816.00",8
"$40,817.00","$40,817.00",5
"$40,818.00","$40,818.00",10
"$40,819.00","$40,819.00",7
"$40,820.00","$40,820.00",8
"$40,821.00","$40,821.00",4
"$40,822.00","$40,822.00",6
"$40,823.00","$40,823.00",9
"$40,824.00","$40,824.00",7
